tap,value
0,0.4452611131790412
1,0.6174516500907384
2,0.38708853736423976
3,0.05282651745461306
4,-0.14374156282423908
5,-0.20772149043582416
6,-0.17476910542015744
7,-0.10020894846268946
8,-0.028581241838665426
9,0.020473754217112252
10,0.04473431073723234
11,0.0493959827521644
12,0.0397915298498422
13,0.023892962938720633
14,0.007779475364557553
15,-0.003983067117162964
16,-0.009963367786009095
17,-0.010905534829907037
18,-0.008564030440568146
19,-0.00512032780667779
20,-0.0018715322320573184
21,0.0002691835059838768
22,0.0012948793388550045
23,0.0013737588183125925
24,0.0009261265636119791
25,0.00032175739336279626
26,-0.0002280696622789592
27,-0.0005445636262913965
28,-0.0006765852126646585
29,-0.0006103938558152685
30,-0.0004680535695755729
31,-0.0002813609619895146
32,-0.00011036394688441517
33,2.1198369112217177e-05
34,0.00012548830898802748
35,0.00018254186588596329
36,0.0002316315562892354
37,0.0002532414331507648
38,0.000279919174505343
39,0.00029837597927952447
40,0.00031871277362203635
41,0.0003391233361898198
42,0.0003503301633777543
43,0.00036410585054713135
44,0.00036389929850540355
45,0.00036641657728547354
46,0.0003569494863648826
47,0.00034607848085780945
48,0.00032849741881455137
49,0.0003056773658671454
50,0.0002828775936107175
51,0.0002537020528610525
52,0.00022760048960726516
53,0.00019516674156670372
54,0.0001657001635251231
55,0.00013304724430905073
56,0.00010289442646602166
57,7.431948149835633e-05
58,4.5953518972210386e-05
59,2.237873309758155e-05
60,-2.3926191075305405e-06
61,-2.0764846796759103e-05
62,-3.877973069613188e-05
63,-5.154087755958678e-05
64,-6.2137329706905e-05
65,-6.996858969953525e-05
66,-7.377793359752578e-05
67,-7.637558426676159e-05
68,-7.434163936773338e-05
69,-7.205545429954106e-05
70,-6.61351666205833e-05
71,-6.051677028545329e-05
72,-5.275024211466892e-05
73,-4.452672376362509e-05
74,-3.5975015161381984e-05
75,-2.6327827655645114e-05
76,-1.8593350478940252e-05
77,-9.561596191695835e-06
78,-2.9169084894381496e-06
79,4.336918075611641e-06
80,9.668232005776969e-06
81,1.3898027519236953e-05
82,1.7156009140230625e-05
83,1.8282598777727676e-05
84,1.9264065820007953e-05
85,1.783583914245067e-05
86,1.6331450802133446e-05
87,1.2943502851020703e-05
88,9.160945150227023e-06
89,4.214932392593437e-06
90,-1.2495994930749582e-06
91,-6.911827490929061e-06
92,-1.3200867760616419e-05
93,-1.892977635815456e-05
94,-2.552796734936906e-05
95,-3.09415952267993e-05
96,-3.7025316572883e-05
97,-4.1767219048348425e-05
98,-4.6256805723424075e-05
99,-5.008722910159719e-05
100,-5.251884640260665e-05
101,-5.492967069725976e-05
102,-5.521069850450231e-05
103,-5.5628941735390783e-05
104,-5.4342845193136855e-05
105,-5.264127531769934e-05
106,-5.010592580156301e-05
107,-4.65657103719972e-05
108,-4.274007328980339e-05
109,-3.760934050606363e-05
110,-3.237787152556541e-05
111,-2.5969190041179687e-05
112,-1.9757126890563135e-05
113,-1.2855798560303697e-05
114,-6.123253557671228e-06
115,8.901974550994699e-07
116,7.758601925981315e-06
117,1.4084135342659576e-05
118,2.0657416798888723e-05
119,2.62601459408656e-05
120,3.226582441447591e-05
121,3.702459241846184e-05
122,4.186194051577874e-05
123,4.566426908978485e-05
124,4.8802155658659205e-05
125,5.149288145885123e-05
126,5.265690208236244e-05
127,5.38893850825957e-05
128,4.229923788187414e-05
129,1.3767270172028403e-05
130,-1.338927441976124e-05
131,-2.5438948438282212e-05
132,-2.330507479906347e-05
133,-1.4051055575787572e-05
134,-3.8080575291028014e-06
135,3.6673837297291734e-06
136,7.26694446563468e-06
137,7.609416531837387e-06
138,5.931533495761135e-06
139,3.408904736217818e-06
140,9.668632417050016e-07
141,-8.263341072783055e-07
142,-1.7719968259425922e-06
143,-1.9656505666852536e-06
144,-1.6686944208485698e-06
145,-1.166822305492851e-06
146,-6.85481988874441e-07
147,-3.4405062403973156e-07
148,-1.7244512073610828e-07
149,-1.37523330803787e-07
150,-1.8268271707022017e-07
151,-2.5287428905569475e-07
152,-3.087640932064557e-07
153,-3.32035390699224e-07
154,-3.1917067223025343e-07
155,-2.7865715483368586e-07
156,-2.212842943387213e-07
157,-1.586310411242841e-07
158,-9.831875278457316e-08
159,-4.47670891797324e-08
160,4.920419804808326e-10
161,3.826479096800836e-08
162,6.936189717289588e-08
163,9.556648809157382e-08
164,1.1743219792507422e-07
165,1.358779760671626e-07
